Time Step - No.;Time Step - Repetitions;Newton Iterations;Cumulative Time - DAYS;Date;Cumulative Production Oil MSTB;Cumulative Production Gas MMSCF;Cumulative Production Water MSTB;Cumulative Injection Gas MMSCF;Cumulative Injection Water MSTB;Production Rate Oil STB/D;Production Rate Gas MSCF/D;Production Rate Water STB/D;Injection Rate Gas MSCF/D;Injection Rate Water STB/D;Gaslift Rate - MSCF/D;Cumulative Gaslift - MMSCF;Gas Oil Ratio MSCF/STB;Water Oil Ratio STB/STB;Water Cut - STB/STB;Recovery OOIP - %;Ave.Wt. Pressure Tot-PV PSIA;Ave.Wt. Pressure HCPV+ PSIA;CPU TIME - Seconds;Elapsed TIME - Seconds
1;0;2;0.01;Tue Jan 01 00:00:00 GST 1991;0;0;0.06362;0;0;0;0;6362.16;0;0;0;0;0;0;1;0;4782.38;4693.87;44.41;46.34
2;0;1;0.03;Tue Jan 01 00:00:00 GST 1991;0;0;0.19;0;0;0;0;6338.67;0;0;0;0;0;0;1;0;4782.38;4693.87;48.61;50.55
3;0;1;0.07;Tue Jan 01 00:00:00 GST 1991;0;0;0.442;0;0;0;0;6294.15;0;0;0;0;0;0;1;0;4782.38;4693.87;52.9;54.84
4;0;1;0.15;Tue Jan 01 00:00:00 GST 1991;0;0;0.939;0;0;0;0;6212.87;0;0;0;0;0;0;1;0;4782.37;4693.87;57.15;59.1
5;0;1;0.31;Tue Jan 01 00:00:00 GST 1991;0;0;1.911;0;0;0;0;6074.63;0;0;0;0;0;0;1;0;4782.37;4693.87;61.27;63.22
6;0;1;0.63;Tue Jan 01 00:00:00 GST 1991;0;0;3.788;0;0;0;0;5864.45;0;0;0;0;0;0;1;0;4782.37;4693.87;65.36;67.32
7;0;2;1.27;Wed Jan 02 00:00:00 GST 1991;0;0;7.366;0;0;0;0;5591.32;0;0;0;0;0;0;1;0;4782.35;4693.87;73.7;75.67
8;0;2;2.55;Thu Jan 03 00:00:00 GST 1991;0;0;14.137;0;0;0;0;5289.52;0;0;0;0;0;0;1;0;4782.33;4693.86;83.73;85.71
9;0;1;5.11;Sun Jan 06 00:00:00 GST 1991;0;0;26.939;0;0;0;0;5000.8;0;0;0;0;0;0;1;0;4782.28;4693.86;88.09;90.07
10;0;1;10.288;Fri Jan 11 00:00:00 GST 1991;0;0;51.493;0;0;0;0;4742.03;0;0;0;0;0;0;1;0;4782.19;4693.86;92.34;94.34
